schema_version,experiment_id,scenario_label,attack_source_host,notes,window_start,window_end,dpid,port,interval_seconds,rx_packets_delta,tx_packets_delta,rx_bytes_delta,tx_bytes_delta,rx_pps,tx_pps,rx_bytes_per_sec,tx_bytes_per_sec,last_protocol,last_dst_port,last_source_ip
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717548.4555252,1788717550.4881408,4,3,2.0326156616210938,2,2,120,120,0.9839538471355271,0.9839538471355271,59.03723082813163,59.03723082813163,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4881408,1788717552.4237046,4,4294967294,1.9355638027191162,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4881408,1788717552.4237046,4,4,1.9355638027191162,0,2,0,120,0.0,1.033290660421714,0.0,61.997439625302846,1,0,10.0.0.4
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4881408,1788717552.4237046,4,1,1.9355638027191162,2,2,120,120,1.033290660421714,1.033290660421714,61.997439625302846,61.997439625302846,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4881408,1788717552.4237046,4,2,1.9355638027191162,2,2,120,120,1.033290660421714,1.033290660421714,61.997439625302846,61.997439625302846,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4881408,1788717552.4237046,4,3,1.9355638027191162,2,2,120,120,1.033290660421714,1.033290660421714,61.997439625302846,61.997439625302846,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4468322,1788717552.8315022,2,4294967294,2.3846700191497803,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4468322,1788717552.8315022,2,1,2.3846700191497803,3,3,180,180,1.2580356929507617,1.2580356929507617,75.4821415770457,75.4821415770457,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4468322,1788717552.8315022,2,4,2.3846700191497803,0,2,0,120,0.0,0.8386904619671744,0.0,50.32142771803047,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4468322,1788717552.8315022,2,2,2.3846700191497803,3,2,180,120,1.2580356929507617,0.8386904619671744,75.4821415770457,50.32142771803047,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4468322,1788717552.8315022,2,3,2.3846700191497803,2,2,120,120,0.8386904619671744,0.8386904619671744,50.32142771803047,50.32142771803047,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4674401,1788717553.2486835,3,4294967294,2.781243324279785,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4674401,1788717553.2486835,3,4,2.781243324279785,0,2,0,120,0.0,0.7191028496285591,0.0,43.146170977713545,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4674401,1788717553.2486835,3,1,2.781243324279785,2,2,120,120,0.7191028496285591,0.7191028496285591,43.146170977713545,43.146170977713545,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4674401,1788717553.2486835,3,2,2.781243324279785,2,3,120,180,0.7191028496285591,1.0786542744428385,43.146170977713545,64.71925646657031,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.4674401,1788717553.2486835,3,3,2.781243324279785,2,2,120,120,0.7191028496285591,0.7191028496285591,43.146170977713545,43.146170977713545,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,4294967294,2.8411247730255127,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,4,2.8411247730255127,14,14,1150,2576,4.927625894124813,4.927625894124813,404.7692698745383,906.6831645189657,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,1,2.8411247730255127,3,3,180,180,1.0559198344553171,1.0559198344553171,63.35519006731903,63.35519006731903,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,5,2.8411247730255127,12,16,2456,1270,4.2236793378212685,5.631572450428358,864.4463711407531,447.00606325275095,1,0,10.0.0.100
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,2,2.8411247730255127,2,2,120,120,0.7039465563035447,0.7039465563035447,42.23679337821269,42.23679337821269,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717550.422249,1788717553.2633739,1,3,2.8411247730255127,2,2,120,120,0.7039465563035447,0.7039465563035447,42.23679337821269,42.23679337821269,1,0,10.0.0.4
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,4294967294,1.1605451107025146,0,0,0,0,0.0,0.0,0.0,0.0,,,
